source	interaction	target
MYC	upregulates-expression	TERT
SPI1	upregulates-expression	BGLAP
SMAD3	upregulates-expression	JUN
SMAD4	upregulates-expression	JUN
STAT5A	upregulates-expression	IL2
STAT5B	upregulates-expression	IL2
RELA	upregulates-expression	FAS
WT1	upregulates-expression	NR0B1
NR0B2	upregulates-expression	CASP1
SP1	upregulates-expression	ALDOA
TP53	downregulates-expression	IGF1R
ZBTB16	downregulates-expression	CCNA2
ETV6	downregulates-expression	IL3
RUNX1	downregulates-expression	IL3
RUNX1	upregulates-expression	RHD
STAT1	upregulates-expression	CDKN1A
STAT3	upregulates-expression	CDKN1A
TP53	upregulates-expression	POLI
ETV4	upregulates-expression	GGT1
MTF1	upregulates-expression	MCAT
CREB1	upregulates-expression	HMGCS2
FOXA2	upregulates-expression	GCG
NFATC2	upregulates-expression	GCG
CEBPB	upregulates-expression	PCK1
FOS	upregulates-expression	ABCB1
RELA	upregulates-expression	ABCB1
PLAG1	upregulates-expression	PLAG1
TP53	upregulates-expression	CDKN1A
TP53	downregulates-expression	RB1
E2F1	upregulates-expression	CDKN1A
E2F3	upregulates-expression	CDKN1A
HBP1	downregulates-expression	CDKN1A
YY1	upregulates-expression	NR3C1
ESR1	upregulates-expression	MAPK8
JUN	upregulates-expression	MAPK8
NR1I3	upregulates-expression	CYP2B6
CEBPG	upregulates-expression	IVL
MAFK	upregulates-expression	HBB
NFE2L3	upregulates-expression	HBB
TP53	upregulates-expression	ACTA1
TP53	downregulates-expression	BCL2
PHOX2A	upregulates-expression	DBH
STAT4	upregulates-expression	IL12B
STAT4	upregulates-expression	IFNA1
STAT4	upregulates-expression	IRF1
IRF1	upregulates-expression	IRF1
ATF2	upregulates-expression	IL6
WT1	upregulates-expression	ODC1
NR2C2	upregulates-expression	CCND1
IRF3	upregulates-expression	IFNA1
TFAP2A	upregulates-expression	CCL13
FOS	downregulates-expression	FOS
HNF1A	upregulates-expression	IGF1
STAT5A	upregulates-expression	IGF1
ETS1	upregulates-expression	TIMP1
ETV4	upregulates-expression	TIMP1
CEBPB	upregulates-expression	ADRA1D
ARNT	upregulates-expression	CYP1B1
AHR	upregulates-expression	CYP1B1
TP53	downregulates-expression	CCNB1
PAX6	upregulates-expression	L1CAM
CARF	upregulates-expression	CREBBP
STAT5A	upregulates-expression	CCND1
STAT5A	upregulates-expression	IL3
CEBPB	upregulates-expression	VLDLR
NFYA	upregulates-expression	VLDLR
CEBPG	upregulates-expression	VLDLR
TP53	upregulates-expression	MDM2
ZNF148	upregulates-expression	CDKN1A
NFIC	upregulates-expression	CREBBP
NFIC	upregulates-expression	SRC
NFIC	upregulates-expression	GAL
NFIC	upregulates-expression	NFIC
RBPJ	downregulates-expression	MYOD1
RBPJ	upregulates-expression	HES1
HES1	upregulates-expression	HES1
ATF2	upregulates-expression	CCND1
JUN	upregulates-expression	CCND1
FOS	upregulates-expression	MAPK14
GATA4	upregulates-expression	INHA
GATA4	upregulates-expression	GATA4
GATA4	upregulates-expression	GATA6
GATA6	upregulates-expression	GATA4
E2F3	upregulates-expression	RBL1
NFATC2	upregulates-expression	IL4
HNF4A	upregulates-expression	GUCY2C
RXRG	upregulates-expression	SFTPB
RARA	upregulates-expression	SFTPB
JUN	upregulates-expression	CDKN1A
TP53	upregulates-expression	JUN
JUN	downregulates-expression	TP53
TP53	upregulates-expression	TP53
STAT3	upregulates-expression	PRF1
DBP	upregulates-expression	JTB
HLF	upregulates-expression	JTB
HLF	upregulates-expression	F8
PPARG	upregulates-expression	SERPINE2
PPARG	downregulates-expression	SERPINE1
MAX	downregulates-expression	PDLIM7
USF2	upregulates-expression	PDLIM7
IRF1	upregulates-expression	SAMHD1
IRF2	upregulates-expression	SAMHD1
IRF1	upregulates-expression	IFNG
IRF1	upregulates-expression	NOS2
IRF2	downregulates-expression	NOS2
SP1	upregulates-expression	FASLG
SP3	upregulates-expression	FASLG
AR	upregulates-expression	PRKACA
AR	upregulates-expression	KLK3
AR	upregulates-expression	ARR3
CUX1	upregulates-expression	CFTR
ATF1	upregulates-expression	CFTR
KAT7	upregulates-expression	CFTR
CREBZF	upregulates-expression	GAST
SP1	upregulates-expression	GAST
GLI3	upregulates-expression	GLI1
NKX2-5	upregulates-expression	NPPA
GATA4	upregulates-expression	NPPA
TGFB1I1	upregulates-expression	AR
AR	upregulates-expression	TGFB1I1
RARB	upregulates-expression	MMP11
RARG	upregulates-expression	MMP11
RARB	downregulates-expression	RARG
RARG	upregulates-expression	RARB
JUN	upregulates-expression	CCL5
RELA	upregulates-expression	CD40
RELA	upregulates-expression	IFNG
TEAD1	upregulates-expression	TGFA
TFAP2A	upregulates-expression	TGFA
PPARA	upregulates-expression	NR1D1
ESR2	upregulates-expression	RARA
ESR1	upregulates-expression	RARA
RARA	upregulates-expression	ESR1
NR3C1	upregulates-expression	IRS2
